S.no,Dataset,Category,Modality,Pairs or images,Description,Download / Main link,Extra link / notes
35,LIME,Low light,RGB,10,000 images,"LIME dataset containing 10,000 natural low-light images used for low-light enhancement evaluation.",https://drive.google.com/file/d/0B-vQOifmNaYXRmZQTVRYZ1Z6R2M/view,"Unpaired natural low-light images."[web:7]
36,DPED,Low light / mobile,RGB,~22,000 images,"DPED dataset with smartphone and DSLR image pairs, often used for low-light and quality enhancement of mobile photos.",http://people.ee.ethz.ch/~ihnatova/pynet.html,"Cross-device image enhancement benchmark."[web:7]
37,SID (full See-in-the-Dark),Low light,RAW+RGB,5,094 pairs,"Full SID dataset with 5,094 short-exposure RAW images and corresponding long-exposure references (includes Sony and Fuji subsets).",https://storage.googleapis.com/isl-datasets/SID/SID.zip,"Standard RAW low-light restoration dataset."[web:7]
38,LoL v2 (LOLv2),Low light,RGB,2,000+ pairs,"Extended LOL dataset version 2 with more scenes and illumination variations for supervised low-light enhancement.",https://daooshee.github.io/LOLv2/,"Successor to LOL v1 with more diversity."[web:7]
39,LSD3K,Smoke (endoscopic),RGB,3,000 pairs,"Laparoscopic Surgery Desmoking Dataset with 3,000 paired synthetic smoky/clean images plus 50 real smoky images.",https://github.com/wentaozhu/laparoscopic-smoke-removal,"Medical desmoking benchmark with density-graded smoke.",[web:8]
40,SRRS (Snow Removal from Real Scenes),Snow,RGB,16,000 images,"Synthetic and real snow dataset SRRS with about 16,000 images used for desnowing research.",https://github.com/zhangsk96/SRRS,"Includes both synthetic and realistic snow scenes."[web:5]
41,CSD (Comprehensive Snow Dataset),Snow,RGB,10,000 images,"Comprehensive Snow Dataset with 10,000 synthetic snowy images generated from RESIDE clean images via snowflake/snow streak synthesis.",https://github.com/liruoteng/CSD-Snow-dataset,"Controls snow transparency, size, and location for realism."[web:5]
42,SITD (Snow Image Training Dataset),Snow,RGB,3,000 images,"Snow training dataset with 3,000 outdoor synthetic snowy images for desnowing benchmarks.",https://github.com/CVPR2019-Snow/SITD-dataset,"Often paired with Snow100K in desnowing studies."[web:5]
43,LoL-SRW (Low-light SR/Weather),Low light,RGB,50 pairs,"LSRW dataset with 50 paired images (Huawei + Nikon) for low-light super-resolution and restoration.",https://github.com/LoL-SRW/LSRW-dataset,"Used for super-resolution under low-light conditions."[web:7]
44,NTIRE Desnowing Challenge Dataset,Snow,RGB,~10,000+ images,"NTIRE desnowing challenge dataset built from Snow100K and related snow data for benchmarking desnowing models.",https://data.vision.ee.ethz.ch/cvl/ntire21/desnowing/,"Benchmark track for desnowing competitions."[web:5]
45,NTIRE Nighttime Dehazing Dataset,Haze+low light,RGB,~2,000+ images,"NTIRE nighttime dehazing dataset with real nighttime hazy images and corresponding references for joint low-light and haze removal.",https://data.vision.ee.ethz.ch/cvl/ntire20/NTIRE2020-night-dehazing/,"Targets simultaneous dehazing and low-light enhancement."[web:9]
